23, 135, 1, 1, 1, 2
24, 176, 2, 1, 2, 1
61, 135, 1, 1, 1, 2
61, 180, 1, 2, 1, 1
63, 30, 2, 2, 2, 1
24, 55, 2, 1, 2, 1
63, 135, 1, 2, 2, 2
69, 73, 2, 2, 1, 1
73, 176, 1, 1, 1, 1
67, 22, 2, 1, 1, 1
24, 10, 2, 1, 2, 1
24, 21, 1, 2, 2, 1
24, 22, 2, 2, 2, 1
69, 85, 2, 2, 1, 1
63, 21, 1, 1, 2, 1
64, 135, 1, 1, 1, 2
67, 180, 1, 1, 1, 1
69, 28, 2, 1, 1, 1
61, 22, 2, 1, 1, 1
63, 30, 2, 2, 2, 1
23, 21, 1, 1, 1, 1
24, 185, 2, 1, 2, 1
69, 2, 2, 2, 1, 1
24, 61, 2, 2, 2, 1
63, 55, 2, 2, 2, 1
69, 173, 2, 1, 1, 1
69, 61, 2, 1, 1, 1
69, 175, 1, 2, 1, 2
63, 10, 2, 2, 2, 1
24, 193, 2, 1, 2, 1
24, 30, 2, 2, 2, 1
63, 20, 2, 1, 2, 1
63, 135, 1, 2, 2, 2
73, 175, 1, 2, 1, 2
63, 48, 2, 2, 2, 1
24, 73, 2, 2, 2, 1
61, 175, 1, 2, 1, 2
73, 27, 1, 1, 1, 2
69, 174, 2, 1, 1, 1
63, 52, 2, 1, 2, 1
63, 55, 2, 1, 2, 1
63, 193, 2, 1, 2, 1
64, 175, 1, 1, 1, 2
63, 10, 2, 2, 2, 1
67, 175, 1, 1, 1, 2
69, 61, 2, 2, 1, 1
63, 52, 2, 1, 2, 1
69, 21, 1, 1, 1, 1
61, 176, 1, 1, 1, 1
69, 27, 2, 2, 1, 2
63, 9, 2, 2, 2, 1
63, 10, 2, 1, 2, 1
64, 135, 1, 2, 1, 2
24, 15, 2, 1, 2, 1
23, 180, 1, 1, 1, 1
69, 89, 2, 2, 1, 1
69, 30, 2, 1, 1, 1
67, 135, 1, 2, 1, 2
23, 175, 1, 1, 1, 2
73, 22, 2, 1, 1, 1
