24, 20, 2, 1, 2, 3
73, 61, 1, 2, 3, 2
24, 22, 1, 2, 2, 3
61, 85, 1, 1, 3, 3
63, 182, 1, 1, 2, 3
61, 21, 2, 1, 3, 2
63, 15, 2, 1, 2, 2
67, 182, 2, 1, 2, 3
63, 9, 2, 2, 2, 3
24, 52, 1, 1, 2, 2
67, 52, 2, 1, 2, 2
63, 167, 1, 2, 2, 2
73, 15, 2, 1, 3, 2
67, 176, 1, 2, 2, 3
63, 15, 1, 2, 2, 2
24, 135, 1, 2, 2, 2
64, 154, 2, 2, 2, 3
67, 61, 1, 1, 2, 2
61, 182, 1, 2, 3, 3
63, 85, 1, 2, 2, 3
61, 85, 2, 2, 3, 3
63, 176, 1, 1, 2, 3
64, 193, 1, 1, 2, 3
73, 10, 1, 1, 3, 3
63, 17, 2, 1, 2, 2
24, 173, 2, 1, 2, 3
63, 9, 2, 1, 2, 3
23, 85, 2, 1, 2, 3
61, 185, 2, 1, 3, 2
24, 193, 1, 2, 2, 3
69, 154, 2, 1, 2, 3
64, 22, 2, 2, 2, 3
63, 147, 1, 1, 2, 2
23, 61, 2, 2, 2, 2
64, 173, 2, 2, 2, 3
69, 17, 2, 2, 2, 2
64, 85, 2, 2, 2, 3
69, 17, 2, 2, 2, 2
64, 52, 2, 1, 2, 2
73, 17, 1, 1, 3, 2
61, 48, 2, 1, 3, 3
61, 55, 2, 1, 3, 2
61, 22, 2, 2, 3, 3
64, 14, 2, 1, 2, 2
67, 30, 2, 1, 2, 3
64, 22, 2, 2, 2, 3
23, 55, 2, 1, 2, 2
24, 96, 1, 1, 2, 2
24, 15, 1, 2, 2, 2
23, 27, 2, 1, 2, 1
24, 48, 2, 2, 2, 3
61, 21, 2, 1, 3, 2
24, 193, 1, 1, 2, 3
24, 17, 1, 1, 2, 2
24, 20, 1, 1, 2, 3
69, 96, 2, 2, 2, 2
69, 193, 1, 2, 2, 3
67, 52, 2, 1, 2, 2
64, 167, 1, 2, 2, 2
